Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
BT1,1,Battery,,,,OpenTendo-AGB:Battery,~
"C1,C37,C62,C63,C64",5,0.01u,,,,OpenTendo-AGB:C_0402_1005Metric,~
"C2,C24,C28,C30,C38,C42,C57,C61",8,1u,,,,OpenTendo-AGB:C_0603_1608Metric,~
C3,1,27p,,,,OpenTendo-AGB:C_0402_1005Metric,~
C4,1,33p,,,,OpenTendo-AGB:C_0402_1005Metric,~
"C5,C6,C7,C8,C13,C14,C15,C16,C17,C22,C23,C26,C32,C34,C39,C40,C41,C45,C46,C47,C50,C51,C52,C53,C55,C58,C59",27,0.1u,,,,OpenTendo-AGB:C_0402_1005Metric,~
"C9,C12",2,1000p,,,,OpenTendo-AGB:C_0402_1005Metric,~
"C10,C18,C19,C20,C49",5,100p,,,,OpenTendo-AGB:C_0402_1005Metric,~
"C11,C48",2,470p,,,,OpenTendo-AGB:C_0402_1005Metric,~
C25,1,0.47u,,,,OpenTendo-AGB:C_0603_1608Metric,~
"C27,C43,C54",3,4.7u,,,,OpenTendo-AGB:C_0805_2012Metric,~
"C33,C35,C36",3,1u,,,,OpenTendo-AGB:C_0805_2012Metric,~
"C44,C56",2,2.2u,,,,OpenTendo-AGB:C_0805_2012Metric,~
CL1,1,SolderJumper_2_Bridged,,Excluded from BOM,,OpenTendo-AGB:Jumper-Bridged,~
"CP1,CP4",2,100u,,,,OpenTendo-AGB:CP_Elec_5x5.3,~
CP2,1,100u,,,,OpenTendo-AGB:C_Elec_6.3x5.8,~
CP3,1,470u,,,,OpenTendo-AGB:C_Elec_8x10.2,~
D1,1,MA112,,,,OpenTendo-AGB:Diode,~
D2,1,RB411D,,,,OpenTendo-AGB:SOT-23,~
D3,1,RB491D,,,,OpenTendo-AGB:SOT-23,~
D4,1,ISS355,,,,OpenTendo-AGB:Diode,~
"DA1,DA2",2,DA204U,,,,OpenTendo-AGB:SOT-323,~
DL1,1,SML311UT,,,,OpenTendo-AGB:LED_0603_1608Metric,~
DL2,1,SML210MT,,,,OpenTendo-AGB:LED_0603_1608Metric,~
DZ1,1,RD4.7S,,,,OpenTendo-AGB:Diode,
"EM1,EM2",2,ACM4532-102-3P,,,,OpenTendo-AGB:EM,~
"EM3,EM7",2,HW601,,,,OpenTendo-AGB:L_0603_1608Metric,~
"EM4,EM5,EM6",3,BLM11B252SD,,,,OpenTendo-AGB:L_0603_1608Metric,~
F1,1,4341.25,,,,OpenTendo-AGB:Fuse_0603_1608Metric,~
L1,1,100u,,,,OpenTendo-AGB:Inductor,~
P1,1,CART,,,,OpenTendo-AGB:CartSlot,
P2,1,LCD,,,,OpenTendo-AGB:LCD-Connector,
P3,1,PHONE JACK,,,,OpenTendo-AGB:Audio-Jack,
P4,1,AGB-LINK,,,,OpenTendo-AGB:EXT,
Q1,1,DTA123J,,,,OpenTendo-AGB:SOT-323,
Q2,1,DTA114T,,,,OpenTendo-AGB:SOT-323,
"Q3,Q10",2,DTC114Y,,,,OpenTendo-AGB:SOT-323,
"Q4,Q5",2,FDV303N,,,,OpenTendo-AGB:SOT-23,~
Q6,1,2SK1582,,,,OpenTendo-AGB:SOT-23,~
Q7,1,SSM3J01F,,,,OpenTendo-AGB:SOT-23,~
"Q8,Q9",2,2SC4081,,,,OpenTendo-AGB:SOT-323,~
Q11,1,DTA114Y,,,,OpenTendo-AGB:SOT-323,
R1,1,1.5M,,,,OpenTendo-AGB:R_0402_1005Metric,~
R2,1,10k,,,,OpenTendo-AGB:R_0402_1005Metric,~
"R3,R4,R7,R8,R30,R31",6,47k,,,,OpenTendo-AGB:R_0402_1005Metric,~
"R5,R6,R17,R35",4,100k,,,,OpenTendo-AGB:R_0402_1005Metric,~
"R10,R37",2,470,,,,OpenTendo-AGB:R_0402_1005Metric,~
"R11,R12,R13",3,150,,,,OpenTendo-AGB:R_0402_1005Metric,~
R14,1,4.7k,,,,OpenTendo-AGB:R_0402_1005Metric,~
"R15,R16,R18",3,33k,,,,OpenTendo-AGB:R_0402_1005Metric,~
"R19,R20,R40,R43,R44",5,15,,,,OpenTendo-AGB:R_0402_1005Metric,~
"R25,R38,R39",3,47,,,,OpenTendo-AGB:R_0402_1005Metric,~
"R26,R34",2,15k,,,,OpenTendo-AGB:R_0402_1005Metric,~
R27,1,200k,,,,OpenTendo-AGB:R_0402_1005Metric,~
R28,1,56k,,,,OpenTendo-AGB:R_0402_1005Metric,~
R29,1,18k,,,,OpenTendo-AGB:R_0402_1005Metric,~
R32,1,1M,,,,OpenTendo-AGB:R_0402_1005Metric,~
R33,1,5.1,,,,OpenTendo-AGB:R_0402_1005Metric,~
R36,1,270,,,,OpenTendo-AGB:R_0402_1005Metric,~
R41,1,2.2k,,,,OpenTendo-AGB:R_0402_1005Metric,~
RA1,1,330,,,,OpenTendo-AGB:RA,
SP1,1,Speaker,,,,OpenTendo-AGB:Speaker,~
SW1,1,AGB-SW,,,,OpenTendo-AGB:Power Switch,
SW2,1,SW_Push,,,,OpenTendo-AGB:L,~
SW3,1,SW_Push,,,,OpenTendo-AGB:R,~
SW4,1,AGB-A-B,,,,OpenTendo-AGB:AB,~
SW5,1,AGB-ST-SEL,,,,OpenTendo-AGB:StartSelect,
SW6,1,AGB-DPAD,,,,OpenTendo-AGB:DPAD,
T1,1,AGB-XFRM,,,,OpenTendo-AGB:Coil,
TP0,1,TP0,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP1,1,TP1,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP2,1,TP2,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP3,1,TP3,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP4,1,TP4,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP5,1,TP5,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP6,1,TP6,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP7,1,TP7,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP8,1,TP8,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP9,1,TP9,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP10,1,VOUT3,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm_VIA,
TP11,1,VDRV3,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP12,1,VDD2,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP13,1,VDRV5,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP14,1,VOUT5,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP15,1,~{RESET},,,,OpenTendo-AGB:TestPoint_Pad_D1.25mm_VIA,
TP16,1,D3A,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP17,1,D2A,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm_VIA,
TP18,1,DA2-AC,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP19,1,DA1-AC,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm_VIA,
TP20,1,DA2-A,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP21,1,DA1-C,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP22,1,VDD13,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP23,1,VDD-15,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP24,1,VDD5,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP25,1,Q8B,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP26,1,VSHD,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP27,1,Q10B,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP28,1,LOWBAT,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP29,1,DL2A,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP30,1,DL2K,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP31,1,DL1A,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP32,1,D1A,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP33,1,Q9C,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP34,1,Q9B,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP35,1,Q11B,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP36,1,MOD,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP37,1,SPS,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP38,1,CLS,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP39,1,SPL,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP40,1,LDB1,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP41,1,LDB2,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP42,1,LDB3,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP43,1,LDB4,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP44,1,LDB5,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP45,1,LDG1,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP46,1,LDG2,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP47,1,LDG3,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP48,1,LDG4,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP49,1,LDG5,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP50,1,LDR1,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP51,1,LDR2,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP52,1,LDR3,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP53,1,LDR4,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP54,1,LDR5,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP55,1,PS,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP56,1,LP,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP57,1,DCK,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP58,1,P2-VSS,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP59,1,P2-VCC,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP60,1,P2-VDD,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP61,1,P2-VEE,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP62,1,REVC,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP63,1,U3-VDD,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP64,1,V0,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP65,1,V1,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP66,1,V2,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP67,1,V3,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP68,1,V4,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP69,1,U3-COM,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP70,1,VCOM,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP71,1,VR1-2,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP72,1,U5-3,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP73,1,Q3B,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP74,1,Q1B,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP75,1,IN35,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm_VIA,
TP76,1,VDD35,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP77,1,PHI,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
